sequence_id,sequence_type,event_position,endpoint,event_type,status_code,response_time
1,failure,1,/health,normal,200,0.1394
1,failure,2,/health,normal,200,0.0168
1,failure,3,/warning,warning,200,2.02
1,failure,4,/warning,warning,200,2.0524
1,failure,5,/warning,warning,200,2.0324
1,failure,6,/error,error,500,0.167
2,healthy,1,/,normal,200,0.1314
2,healthy,2,/health,normal,200,0.023
2,healthy,3,/,normal,200,0.0235
2,healthy,4,/,normal,200,0.0295
2,healthy,5,/health,normal,200,0.0157
3,failure,1,/,normal,200,0.0556
3,failure,2,/,normal,200,0.0646
3,failure,3,/warning,warning,200,2.4244
3,failure,4,/warning,warning,200,2.0542
3,failure,5,/warning,warning,200,2.0594
3,failure,6,/error,error,500,0.0262
4,failure,1,/,normal,200,0.01
4,failure,2,/,normal,200,0.03
4,failure,3,/warning,warning,200,2.0527
4,failure,4,/warning,warning,200,2.0544
4,failure,5,/warning,warning,200,2.0107
4,failure,6,/error,error,500,0.0623
5,healthy,1,/,normal,200,0.0555
5,healthy,2,/,normal,200,0.0058
5,healthy,3,/health,normal,200,0.0657
5,healthy,4,/,normal,200,0.0588
5,healthy,5,/health,normal,200,0.0603
6,healthy,1,/,normal,200,0.069
6,healthy,2,/,normal,200,0.0307
6,healthy,3,/,normal,200,0.0505
6,healthy,4,/health,normal,200,0.0081
6,healthy,5,/health,normal,200,0.0475
7,failure,1,/,normal,200,0.0528
7,failure,2,/health,normal,200,0.0074
7,failure,3,/warning,warning,200,2.0224
7,failure,4,/warning,warning,200,2.0809
7,failure,5,/warning,warning,200,2.0491
7,failure,6,/error,error,500,0.0695
8,healthy,1,/health,normal,200,0.0476
8,healthy,2,/,normal,200,0.0704
8,healthy,3,/health,normal,200,0.0062
8,healthy,4,/,normal,200,0.049
8,healthy,5,/health,normal,200,0.0133
9,healthy,1,/health,normal,200,0.0539
9,healthy,2,/health,normal,200,0.0675
9,healthy,3,/health,normal,200,0.0059
9,healthy,4,/health,normal,200,0.0056
9,healthy,5,/,normal,200,0.0079
10,healthy,1,/,normal,200,0.0104
10,healthy,2,/health,normal,200,0.016
10,healthy,3,/,normal,200,0.0087
10,healthy,4,/health,normal,200,0.0085
10,healthy,5,/health,normal,200,0.0086
11,healthy,1,/,normal,200,0.0565
11,healthy,2,/,normal,200,0.0312
11,healthy,3,/,normal,200,0.0554
11,healthy,4,/health,normal,200,0.0475
11,healthy,5,/,normal,200,0.0481
12,healthy,1,/,normal,200,0.0078
12,healthy,2,/health,normal,200,0.0573
12,healthy,3,/,normal,200,0.0282
12,healthy,4,/,normal,200,0.0539
12,healthy,5,/health,normal,200,0.0506
13,healthy,1,/,normal,200,0.0113
13,healthy,2,/health,normal,200,0.0519
13,healthy,3,/,normal,200,0.0554
13,healthy,4,/,normal,200,0.0122
13,healthy,5,/health,normal,200,0.0671
14,failure,1,/health,normal,200,0.0168
14,failure,2,/health,normal,200,0.0118
14,failure,3,/warning,warning,200,2.0495
14,failure,4,/warning,warning,200,2.0538
14,failure,5,/warning,warning,200,2.0529
14,failure,6,/error,error,500,0.019
15,failure,1,/,normal,200,0.0237
15,failure,2,/health,normal,200,0.0653
15,failure,3,/warning,warning,200,2.0497
15,failure,4,/warning,warning,200,2.0603
15,failure,5,/warning,warning,200,2.0539
15,failure,6,/error,error,500,0.0659
16,healthy,1,/,normal,200,0.0615
16,healthy,2,/health,normal,200,0.0482
16,healthy,3,/,normal,200,0.0101
16,healthy,4,/,normal,200,0.0223
16,healthy,5,/health,normal,200,0.0074
17,healthy,1,/health,normal,200,0.01
17,healthy,2,/,normal,200,0.0079
17,healthy,3,/health,normal,200,0.0154
17,healthy,4,/health,normal,200,0.0618
17,healthy,5,/health,normal,200,0.0101
18,failure,1,/,normal,200,0.0789
18,failure,2,/,normal,200,0.0483
18,failure,3,/warning,warning,200,2.0504
18,failure,4,/warning,warning,200,2.058
18,failure,5,/warning,warning,200,2.0135
18,failure,6,/error,error,500,0.1095
19,healthy,1,/,normal,200,0.0186
19,healthy,2,/,normal,200,0.0513
19,healthy,3,/health,normal,200,0.0094
19,healthy,4,/health,normal,200,0.0535
19,healthy,5,/health,normal,200,0.054
20,healthy,1,/,normal,200,0.0088
20,healthy,2,/,normal,200,0.0527
20,healthy,3,/health,normal,200,0.0524
20,healthy,4,/health,normal,200,0.0479
20,healthy,5,/health,normal,200,0.0114
21,healthy,1,/health,normal,200,0.0741
21,healthy,2,/,normal,200,0.077
21,healthy,3,/,normal,200,0.0239
21,healthy,4,/health,normal,200,0.0267
21,healthy,5,/health,normal,200,0.0135
22,healthy,1,/,normal,200,0.1903
22,healthy,2,/,normal,200,0.1073
22,healthy,3,/,normal,200,0.104
22,healthy,4,/health,normal,200,0.1584
22,healthy,5,/,normal,200,0.0707
23,healthy,1,/health,normal,200,0.0568
23,healthy,2,/,normal,200,0.027
23,healthy,3,/health,normal,200,0.0674
23,healthy,4,/,normal,200,0.0292
23,healthy,5,/,normal,200,0.012
24,failure,1,/health,normal,200,0.0151
24,failure,2,/,normal,200,0.0114
24,failure,3,/warning,warning,200,2.0545
24,failure,4,/warning,warning,200,2.0255
24,failure,5,/warning,warning,200,2.0556
24,failure,6,/error,error,500,0.0673
25,failure,1,/health,normal,200,0.0076
25,failure,2,/,normal,200,0.0071
25,failure,3,/warning,warning,200,2.0515
25,failure,4,/warning,warning,200,2.0523
25,failure,5,/warning,warning,200,2.027
25,failure,6,/error,error,500,0.0092
26,healthy,1,/,normal,200,0.0616
26,healthy,2,/health,normal,200,0.0077
26,healthy,3,/,normal,200,0.0098
26,healthy,4,/health,normal,200,0.0568
26,healthy,5,/,normal,200,0.0726
27,failure,1,/,normal,200,0.0191
27,failure,2,/health,normal,200,0.0069
27,failure,3,/warning,warning,200,2.0081
27,failure,4,/warning,warning,200,2.0537
27,failure,5,/warning,warning,200,2.0582
27,failure,6,/error,error,500,0.024
28,healthy,1,/,normal,200,0.0212
28,healthy,2,/health,normal,200,0.0533
28,healthy,3,/,normal,200,0.0583
28,healthy,4,/,normal,200,0.009
28,healthy,5,/health,normal,200,0.0105
29,healthy,1,/health,normal,200,0.0882
29,healthy,2,/health,normal,200,0.049
29,healthy,3,/health,normal,200,0.011
29,healthy,4,/health,normal,200,0.056
29,healthy,5,/health,normal,200,0.0629
30,healthy,1,/health,normal,200,0.0546
30,healthy,2,/,normal,200,0.0678
30,healthy,3,/health,normal,200,0.0311
30,healthy,4,/,normal,200,0.03
30,healthy,5,/health,normal,200,0.0105
31,failure,1,/,normal,200,0.0136
31,failure,2,/,normal,200,0.0141
31,failure,3,/warning,warning,200,2.0503
31,failure,4,/warning,warning,200,2.0527
31,failure,5,/warning,warning,200,2.0657
31,failure,6,/error,error,500,0.0086
32,healthy,1,/health,normal,200,0.0069
32,healthy,2,/,normal,200,0.0532
32,healthy,3,/health,normal,200,0.0691
32,healthy,4,/,normal,200,0.0132
32,healthy,5,/health,normal,200,0.0125
33,healthy,1,/health,normal,200,0.0777
33,healthy,2,/health,normal,200,0.0161
33,healthy,3,/,normal,200,0.0229
33,healthy,4,/,normal,200,0.0122
33,healthy,5,/health,normal,200,0.017
34,healthy,1,/health,normal,200,0.0616
34,healthy,2,/health,normal,200,0.0733
34,healthy,3,/health,normal,200,0.0723
34,healthy,4,/health,normal,200,0.0124
34,healthy,5,/health,normal,200,0.0191
35,healthy,1,/health,normal,200,0.016
35,healthy,2,/,normal,200,0.0138
35,healthy,3,/,normal,200,0.0088
35,healthy,4,/,normal,200,0.0918
35,healthy,5,/,normal,200,0.0107
36,failure,1,/,normal,200,0.0569
36,failure,2,/,normal,200,0.0731
36,failure,3,/warning,warning,200,2.009
36,failure,4,/warning,warning,200,2.0309
36,failure,5,/warning,warning,200,2.0496
36,failure,6,/error,error,500,0.0514
37,failure,1,/health,normal,200,0.0141
37,failure,2,/,normal,200,0.0547
37,failure,3,/warning,warning,200,2.0117
37,failure,4,/warning,warning,200,2.0253
37,failure,5,/warning,warning,200,2.0577
37,failure,6,/error,error,500,0.0098
38,failure,1,/health,normal,200,0.0737
38,failure,2,/,normal,200,0.0541
38,failure,3,/warning,warning,200,2.0171
38,failure,4,/warning,warning,200,2.0531
38,failure,5,/warning,warning,200,2.0795
38,failure,6,/error,error,500,0.6171
39,failure,1,/,normal,200,0.3864
39,failure,2,/,normal,200,0.6875
39,failure,3,/warning,warning,200,2.5669
39,failure,4,/warning,warning,200,2.4927
39,failure,5,/warning,warning,200,2.0665
39,failure,6,/error,error,500,0.0888
40,healthy,1,/,normal,200,0.2025
40,healthy,2,/health,normal,200,0.1127
40,healthy,3,/health,normal,200,0.1365
40,healthy,4,/,normal,200,0.0544
40,healthy,5,/health,normal,200,0.4575
41,failure,1,/,normal,200,0.0355
41,failure,2,/,normal,200,0.0995
41,failure,3,/warning,warning,200,2.151
41,failure,4,/warning,warning,200,2.5781
41,failure,5,/warning,warning,200,2.0325
41,failure,6,/error,error,500,0.0588
42,healthy,1,/health,normal,200,0.0249
42,healthy,2,/health,normal,200,0.0719
42,healthy,3,/health,normal,200,0.0139
42,healthy,4,/,normal,200,0.0508
42,healthy,5,/,normal,200,0.0534
43,healthy,1,/,normal,200,0.0226
43,healthy,2,/health,normal,200,0.0292
43,healthy,3,/,normal,200,0.0503
43,healthy,4,/,normal,200,0.0266
43,healthy,5,/,normal,200,0.1601
44,healthy,1,/health,normal,200,0.4652
44,healthy,2,/health,normal,200,0.0336
44,healthy,3,/health,normal,200,0.0648
44,healthy,4,/health,normal,200,0.0409
44,healthy,5,/,normal,200,0.1399
45,failure,1,/,normal,200,0.1885
45,failure,2,/,normal,200,0.0589
45,failure,3,/warning,warning,200,2.0789
45,failure,4,/warning,warning,200,2.0416
45,failure,5,/warning,warning,200,2.0861
45,failure,6,/error,error,500,0.1092
46,healthy,1,/,normal,200,0.0324
46,healthy,2,/,normal,200,0.0769
46,healthy,3,/,normal,200,0.0216
46,healthy,4,/,normal,200,0.012
46,healthy,5,/health,normal,200,0.0555
47,failure,1,/health,normal,200,0.013
47,failure,2,/,normal,200,0.0601
47,failure,3,/warning,warning,200,2.0548
47,failure,4,/warning,warning,200,2.0729
47,failure,5,/warning,warning,200,2.0224
47,failure,6,/error,error,500,0.0209
48,healthy,1,/,normal,200,0.075
48,healthy,2,/,normal,200,0.0573
